category,molID,rank,MW,categories
Composite,0,1,609.65,"ASP, Composite"
Composite,1,3,629.63,Composite
Composite,2,2,511.59,Composite
Composite,3,4,606.65,"ASP, Composite"
Composite,4,5,522.61,Composite
Solubility,23,2,595.7,Solubility
Docking,28,4,632.73,Docking
ASP,29,3,578.64,ASP
Docking,33,1,649.72,Docking
Solubility,41,1,598.71,Solubility
Docking,52,5,525.57,Docking
Solubility,54,4,529.65,Solubility
Solubility,59,3,568.59,Solubility
Docking,67,2,703.8,Docking
Docking,68,3,620.74,Docking
ASP,88,4,502.58,ASP
Solubility,89,5,514.59,Solubility
ASP,94,5,499.58,ASP
