rank,SMILES,pIC50,Solubility,Docking_Score,Tyrosine_PiStacking,composite
1,NNC(=O)c1cc(F)cc(-c2noc(-c3cc4cc(-c5ccnn5C5CCCC(CN6CCC(N)CC6)C5N)ccc4[nH]3)n2)c1,7.5503,-4.0702,-14.1899996,3.0,0.7115707781424606
2,CNC(=O)n1nccc1-c1ccc2[nH]c(-c3nc(C4CCCN(CC(N)Cc5cccc(C(=O)NC6CC(O)CN6)c5)C4)no3)cc2c1,7.9153,-2.9232,-14.3100004,2.0,0.6989085919459687
3,Cn1c(Cc2cnc(CCc3noc(-c4cc5cc(-c6ccnn6C(N)=O)ccc5[nH]4)n3)[nH]c2=O)n[nH]c1=O,7.0568,-3.7513,-12.9799995,3.0,0.6894348556301283
4,CN1CCN(CCc2cnccc2Cc2noc(-c3cc4cc(-c5ccnn5C(=O)C(N)C5CCNC5)ccc4[nH]3)n2)CC1,8.0239,-3.0633,-12.6999998,2.0,0.688857483765943
5,COC(=O)C1CCNCC1C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(C4CCN(c5nccc(-c6cn(C)c(=O)[nH]6)n5)CC4)no3)cc2c1,7.6922,-4.7465,-13.0100002,3.0,0.6769555659600244
6,O=C(C[n+]1cccc(C(=O)O)c1)Nc1nc(-c2noc(-c3cc4cc(-c5ccnn5C5CCNC(C(=O)O)CC5O)ccc4[nH]3)n2)cs1,7.8798,-3.2278,-13.4099998,2.0,0.674611050353032
7,Cc1ccc(Nc2noc(-c3cc4cc(-c5ccnn5C5CCN(C)CC5)ccc4[nH]3)n2)cc1CC(=O)N1CCN(C)CC1,7.2843,-4.479,-14.1400003,3.0,0.6714773661917243
8,O=C(NCCN1CCCCC1)n1nccc1-c1ccc2[nH]c(-c3nc(N4CCCC(n5cc(-c6ccc(F)cc6)cc(CO)c5=O)C4)no3)cc2c1,7.4658,-6.3059,-11.3900003,4.0,0.6673102776177136
9,CNC(=O)n1nccc1-c1ccc2[nH]c(-c3nc(Nc4ccc(CN5CCCN(C)CC5)c(Cl)c4)no3)cc2c1,7.4426,-4.6792,-12.9099998,3.0,0.6636541519028765
10,CC(=O)N1CCN(C2CCCC(C(=O)n3nccc3-c3ccc4[nH]c(-c5nc(CCCNCC(O)c6[nH]cnc6C)no5)cc4c3)C2)CC1,7.9473,-3.3731,-11.4099998,2.0,0.6592698904725892
11,CC(N)c1nccc(C(=O)N2CCC(c3noc(-c4cc5cc(-c6ccnn6C(=O)CC(N)C(=O)O)ccc5[nH]4)n3)CC2)n1,7.6685,-3.2807,-13.1000004,2.0,0.6560144916905537
12,CN(C)C(=O)N1CCC(C(=O)N2CCCC(n3nccc3-c3ccc4[nH]c(-c5nc(C6CCN(Cc7ccc[nH]c7=O)C6)no5)cc4c3)C2)CC1,8.1139,-3.9469,-12.8699999,2.0,0.6474975344703733
13,CN1CCN(c2ccc(-c3noc(-c4cc5cc(-c6ccnn6C(=O)N6CCCCC6)ccc5[nH]4)n3)cc2C(=O)O)CC1,7.3191,-4.797,-12.1800003,3.0,0.6447908285122442
14,CC(N)=CC(=O)N1CCN(Cc2ccc(-c3noc(-c4cc5cc(-c6ccnn6C(=O)NCCN6CCN(S(=O)(=O)CCO)CC6)ccc5[nH]4)n3)cc2)CC(C(=O)O)C1,7.6064,-3.4332,-13.1899996,2.0,0.6441384241083159
15,O=C(CN1CCNCC1)Oc1ccc(CC(=O)N2CCCC(c3noc(-c4cc5cc(-c6ccnn6C(=O)N6COC(CO)C6)ccc5[nH]4)n3)C2)cc1,7.9208,-3.6005,-11.1199999,2.0,0.643390416057706
16,Clc1cc(Nc2noc(-c3cc4cc(-c5ccnn5CC5COCN5)ccc4[nH]3)n2)nc(Cl)n1,7.384,-4.9504,-12.1300001,3.0,0.6403749016993252
