cluster_id,size,centroid_SMILES,mean_Tyrosine_PiStacking,mean_Solubility,mean_pIC50,mean_Docking_Score,mean_composite
81,1,O=C(NCCN1CCCCC1)n1nccc1-c1ccc2[nH]c(-c3nc(N4CCCC(n5cc(-c6ccc(F)cc6)cc(CO)c5=O)C4)no3)cc2c1,4.0,-6.3059,7.4658,-11.3900003,0.6673102776177136
76,1,CN1CCN(c2ccc(-c3noc(-c4cc5cc(-c6ccnn6C(=O)N6CCCCC6)ccc5[nH]4)n3)cc2C(=O)O)CC1,3.0,-4.797,7.3191,-12.1800003,0.6447908285122442
82,1,Cc1ccc(Nc2noc(-c3cc4cc(-c5ccnn5C5CCN(C)CC5)ccc4[nH]3)n2)cc1CC(=O)N1CCN(C)CC1,3.0,-4.479,7.2843,-14.1400003,0.6714773661917243
84,1,COC(=O)C1CCNCC1C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(C4CCN(c5nccc(-c6cn(C)c(=O)[nH]6)n5)CC4)no3)cc2c1,3.0,-4.7465,7.6922,-13.0100002,0.6769555659600244
59,1,CC1(c2ccc(-c3noc(-c4cc5cc(-c6ccnn6C(=O)N6CCCC(N)C6)ccc5[nH]4)n3)cc2)CCCOO1,3.0,-5.6088,7.6223,-12.1199999,0.6199894895110497
47,1,CN1CCC(CNC(=O)c2ccc(CC(=O)NCc3ccc(-n4nccc4-c4ccc5[nH]c(-c6nc(-c7ccc(Cl)cc7Cl)no6)cc5c4)cc3)cc2)CC1,3.0,-5.3209,7.0816,-13.7600002,0.6099250858706012
80,1,CNC(=O)n1nccc1-c1ccc2[nH]c(-c3nc(Nc4ccc(CN5CCCN(C)CC5)c(Cl)c4)no3)cc2c1,3.0,-4.6792,7.4426,-12.9099998,0.6636541519028765
38,1,Cc1cc(Cc2noc(-c3cc4cc(-c5ccnn5C(=O)NC(C)C)ccc4[nH]3)n2)nn1C,3.0,-4.8064,6.6764,-12.25,0.6024974045147644
86,1,Cn1c(Cc2cnc(CCc3noc(-c4cc5cc(-c6ccnn6C(N)=O)ccc5[nH]4)n3)[nH]c2=O)n[nH]c1=O,3.0,-3.7513,7.0568,-12.9799995,0.6894348556301283
88,1,NNC(=O)c1cc(F)cc(-c2noc(-c3cc4cc(-c5ccnn5C5CCCC(CN6CCC(N)CC6)C5N)ccc4[nH]3)n2)c1,3.0,-4.0702,7.5503,-14.1899996,0.7115707781424606
57,1,O=C(O)CCC(C(=O)O)n1nc(-n2nccc2-c2ccc3[nH]c(-c4nc(Cc5c(Cl)cccc5Cl)no4)cc3c2)cc1C(=O)O,3.0,-5.5072,7.6374,-10.9200001,0.6194310332292206
73,1,Clc1cc(Nc2noc(-c3cc4cc(-c5ccnn5CC5COCN5)ccc4[nH]3)n2)nc(Cl)n1,3.0,-4.9504,7.384,-12.1300001,0.6403749016993252
71,1,CN1CCN2CCC(c3noc(-c4cc5cc(-c6ccnn6C(N)=NCCN6CCC(=CCc7ccccc7)CC6)ccc5[nH]4)n3)CC2C1,3.0,-4.691,7.1207,-12.1499996,0.6373792888715064
