rank,SMILES,pIC50,Solubility,Docking_Score,Tyrosine_PiStacking,composite
1,CNS(=O)(=O)N(CCOC)C1CCC(N(C)C)C(c2ncc(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)cc2OC)C1,7.9406,-4.1289,-13.2799997,3.0,0.851614252594812
2,COc1nc(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)ncc1CN1CCC(O)(C(O)CF)CC1,7.8724,-4.2595,-13.3599997,3.0,0.8391236169468417
3,CC(c1cnc(C#N)cc1OC1CCNCC1)N1CCC1(CO)Cc1ccc2[nH]c(-c3n[nH]c4cc(-c5[nH]nnc5N)ccc34)cc2c1,7.8684,-4.2101,-11.4200001,3.0,0.8309806146089318
4,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(-c5ncnn5CC(O)C5CCNCC5)ccc4[nH]3)n[nH]c2c1,7.3422,-3.8586,-13.0699997,3.0,0.8276152504530275
5,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(Nc5nccc(C(=O)N6CCC(N)CC6)n5)ccc4[nH]3)n[nH]c2c1,7.4215,-4.2304,-14.2700005,3.0,0.8159289482405454
6,CC(C)NC1CCn2c(nnc2-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)C1,7.0516,-3.8576,-14.2600002,3.0,0.8149632992146822
7,CC(C)(c1cnn(Cc2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)c1)N1CCNCC1,7.5972,-4.301,-12.7399998,3.0,0.8144783318923702
8,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(Cc5ccc(OC6CNCC6CN6CCNC6)cc5)ccc4[nH]3)n[nH]c2c1,7.1299,-4.155,-13.8400002,3.0,0.7987591004892058
9,CN(C)CCN1CCC(n2ccc(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)cc2=O)CC1,7.24,-4.3096,-14.0500002,3.0,0.7974274502987231
10,Cn1c(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)nc2c1CNCC2,6.7902,-4.0541,-14.6999998,3.0,0.7873401914158453
11,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(Nc5cccc(CN6CCCC6CN6CCNCC6)c5)ccc4[nH]3)n[nH]c2c1,7.2102,-4.4499,-14.1199999,3.0,0.786833356294514
12,CN1CCN2CC(O)(C(O)Cn3cnc(-c4ccc5[nH]c(-c6n[nH]c7cc(-c8[nH]nnc8N)ccc67)cc5c4)c3)CC2C1,7.7322,-3.0237,-14.75,2.0,0.783520377461254
13,Nc1nc(OCC(O)CN2CCN(CCO)CC2)cc(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)n1,7.9647,-3.2099,-13.3299999,2.0,0.7790945269228655
14,CC(C)(O)CNc1ncnc2c(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)cnn12,7.1586,-4.5597,-14.0200005,3.0,0.7757649129057688
15,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(-c5ccc(C6(O)CCN(C(CN7CCCC7)N7CCC(O)CC7)CC6)cc5)ccc4[nH]3)n[nH]c2c1,7.3182,-4.8053,-14.8800001,3.0,0.7756188625013486
