cluster_id,size,centroid_SMILES,mean_Tyrosine_PiStacking,mean_Solubility,mean_pIC50,mean_Docking_Score,mean_composite
4,3,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(Nc5nccc(C(=O)N6CCC(N)CC6)n5)ccc4[nH]3)n[nH]c2c1,3.0,-4.603766666666666,7.285733333333333,-14.3533335,0.7833633212132453
13,1,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(Nc5cc(Nc6nccc(-n7ccnc7)n6)ccn5)ccc4[nH]3)n[nH]c2c1,3.0,-5.4355,6.7726,-14.1899996,0.6947021121131953
20,1,CN(C1CCCCC1)C1CCN(C(=O)c2cccc(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)c2)C1,3.0,-5.7871,7.1343,-14.5299997,0.6983550643675022
8,1,COCCN1CCN(CCCOc2cc(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)ccc2F)CC1,3.0,-5.54,7.1777,-12.6300001,0.7062922025892058
5,2,Cc1ccn2ncc(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)c2n1,3.0,-4.8144,6.7984,-13.980000050000001,0.7350529658620326
83,1,CC(c1cnc(C#N)cc1OC1CCNCC1)N1CCC1(CO)Cc1ccc2[nH]c(-c3n[nH]c4cc(-c5[nH]nnc5N)ccc34)cc2c1,3.0,-4.2101,7.8684,-11.4200001,0.8309806146089318
82,1,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(-c5ncnn5CC(O)C5CCNCC5)ccc4[nH]3)n[nH]c2c1,3.0,-3.8586,7.3422,-13.0699997,0.8276152504530275
84,1,CNS(=O)(=O)N(CCOC)C1CCC(N(C)C)C(c2ncc(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)cc2OC)C1,3.0,-4.1289,7.9406,-13.2799997,0.851614252594812
67,1,Cc1ncc(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)cc1C(CN)CO,3.0,-4.4401,6.6634,-13.5799999,0.7477172535365293
68,1,CNc1nc(Nc2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)ncc1Cn1cccn1,3.0,-4.4737,6.7464,-13.0699997,0.7482269995357764
