rank,SMILES,pIC50,Solubility,Docking_Score,Tyrosine_PiStacking,composite
1,Cn1cc(-c2cc3[nH]nc(-c4ccnc(Cc5ccccc5-n5ncc(CN6CCN(CCO)CC6)n5)c4)c3cn2)cn1,7.7811,-3.1823,-12.7399998,3.0,0.8408050326372185
2,CNCc1cc(-c2n[nH]c3cc(-c4cnc(NC(=O)c5ccccc5NC(=O)CN5CCN(C)CC5)nc4)ncc23)ccn1,8.2658,-3.9127,-12.0799999,3.0,0.8303100509080817
3,Nc1ncc(-c2cc(Nc3cc4[nH]nc(-c5ccnc(CN6CCCC6)c5)c4cn3)c[nH]c2=O)cc1NC(=O)NCCO,8.1811,-4.4155,-12.21,3.0,0.7993247482236165
4,CC(c1ccc(Nc2ccc(Nc3cc4[nH]nc(-c5ccnc(CNCC6CCCN6)c5)c4cn3)nc2F)nc1)N(C)C1CNC1,7.825,-4.0448,-12.0200005,3.0,0.7941453799828224
5,C=CCNCc1cc(-c2n[nH]c3cc(Nc4cncc(NC(=O)c5cccc(C6CNCCN6)c5)c4)ncc23)ccn1,7.7338,-4.3042,-13.0299997,3.0,0.7809542310205646
6,CN1CCN(Cc2ccc(-c3cc4[nH]nc(-c5ccnc(CN6CCN(C(=O)c7ccc(C(=O)NC8NCCCNC8=O)cc7)CC6)c5)c4cn3)cn2)CC1,8.2885,-2.7425,-14.3599997,2.0,0.7738392938489105
7,CC1C(=O)NCCN1CCOc1ncc(CN2CCN(c3cc4[nH]nc(-c5ccnc(CCC(O)CO)c5)c4cn3)CC2)cn1,8.3659,-2.5567,-11.1899996,2.0,0.7687498650014529
8,CC(=O)NCCCc1cc(-c2n[nH]c3cc(-c4cncc(NC(=O)NCc5ccc(CNC(=O)C6CN(C)CCN6)nc5)c4)ncc23)ccn1,8.6325,-3.0788,-12.6499996,2.0,0.7681166113628682
9,CNC(=O)c1cccnc1-c1cc2[nH]nc(-c3ccnc(CNC(CN)c4ccc(C(N)=NCCN5CCN(C)CC5)cc4)c3)c2cn1,7.9708,-2.3504,-12.5299997,2.0,0.762018356129607
10,CN1CCSC(=O)C1COc1cccc(NCc2ccc(-c3cc4[nH]nc(-c5ccnc(CC6CNOC6)c5)c4cn3)cn2)c1,7.8552,-5.0668,-12.6300001,3.0,0.7465945580320732
