cluster_id,size,centroid_SMILES,mean_Tyrosine_PiStacking,mean_Solubility,mean_pIC50,mean_Docking_Score,mean_composite
66,1,CN1CCN(c2ccc(Cn3ccc(-c4cc5[nH]nc(-c6ccnc(CNc7ccccc7)c6)c5cn4)n3)cn2)C(=O)C1,3.0,-4.9576,7.2839,-12.4799995,0.7139090332998537
83,1,CN1CCSC(=O)C1COc1cccc(NCc2ccc(-c3cc4[nH]nc(-c5ccnc(CC6CNOC6)c5)c4cn3)cn2)c1,3.0,-5.0668,7.8552,-12.6300001,0.7465945580320732
80,1,O=C1NCCN(Cc2cccc(CNc3ncc(-c4cc5[nH]nc(-c6ccnc(CNCc7ccccc7)c6)c5cn4)cn3)c2)C1CO,3.0,-4.7074,7.479,-12.7600002,0.7415128248041251
76,1,Cn1cc(Cn2cc(-c3cc4[nH]nc(-c5ccnc(CC6CCNCC6)c5)c4cn3)cn2)cn1,3.0,-4.0565,7.0436,-11.1800003,0.7370539216853463
90,1,Nc1ncc(-c2cc(Nc3cc4[nH]nc(-c5ccnc(CN6CCCC6)c5)c4cn3)c[nH]c2=O)cc1NC(=O)NCCO,3.0,-4.4155,8.1811,-12.21,0.7993247482236165
75,1,CC(C)Cc1cc(-c2n[nH]c3cc(N4CCN(Cc5cnc(NC(=O)Cc6ccccn6)nc5)CC4)ncc23)ccn1,3.0,-5.0902,7.7196,-11.0600004,0.7266478815986932
89,1,CC(c1ccc(Nc2ccc(Nc3cc4[nH]nc(-c5ccnc(CNCC6CCCN6)c5)c4cn3)nc2F)nc1)N(C)C1CNC1,3.0,-4.0448,7.825,-12.0200005,0.7941453799828224
88,1,C=CCNCc1cc(-c2n[nH]c3cc(Nc4cncc(NC(=O)c5cccc(C6CNCCN6)c5)c4)ncc23)ccn1,3.0,-4.3042,7.7338,-13.0299997,0.7809542310205646
91,1,CNCc1cc(-c2n[nH]c3cc(-c4cnc(NC(=O)c5ccccc5NC(=O)CN5CCN(C)CC5)nc4)ncc23)ccn1,3.0,-3.9127,8.2658,-12.0799999,0.8303100509080817
56,1,Cc1cnc(CN2CCN(c3cc4[nH]nc(-c5ccnc(CC6CC6)c5)c4cn3)CC2)cn1,3.0,-4.2392,6.7162,-10.8999996,0.7043021779506027
48,1,CC(NCc1cc(-c2n[nH]c3cc(-c4cnncc4Cn4ccc5ccccc54)ncc23)ccn1)c1ncc(C2CC=CCNC2(C(N)=O)c2ccccc2)cn1,3.0,-4.9839,6.99,-13.2399998,0.6980340577776734
36,1,CNCc1cc(-c2n[nH]c3cc(-c4cnc(NC(=O)Nc5ccc(NC)c(C(N)=O)c5)nc4)ncc23)ccn1,3.0,-5.2096,7.1856,-11.9799995,0.6911776697189447
3,2,OCCN1CCN(Cc2ccccc2Cc2cc(-c3n[nH]c4cc(-c5cnn(C6CCNCC6)c5)ncc34)ccn2)CC1,2.5,-3.32855,7.830500000000001,-12.9449997,0.7710259741623215
13,1,NC(CNC(=O)Nc1c(-c2cc3[nH]nc(-c4ccnc(Cc5ccccc5)c4)c3cn2)cnn1C1CNC1)C1CCNCC1,2.0,-4.3916,8.3151,-12.96,0.6807214772407155
14,1,CS(=O)(=O)Oc1cc(CNC2CCN(C3COC3)C2)cc(Cc2cc(-c3n[nH]c4cc(-c5ccncn5)ncc34)ccn2)c1,2.0,-3.7502,7.8556,-12.4799995,0.6810792095671807
15,1,CS(=O)(=O)NCc1cc(-c2n[nH]c3cc(-c4cncc(Cn5cc(NS(=O)(=O)C6CCOC6)cn5)c4)ncc23)ccn1,2.0,-3.3341,7.5539,-12.1700001,0.6810837114213635
12,1,O=C(NC1CCC2OCCN2C1)c1cccc(Cc2cc(-c3n[nH]c4cc(-c5ccc(S(=O)(=O)N6CCNCC6)cc5)ncc34)ccn2)c1,2.0,-4.3257,8.0171,-15.5200005,0.6806691576831743
