chembl_id,stereo_id,conf_id,smiles
CHEMBL2381234,0,1,O=C(Nc1ccccc1N1CCNCC1)c1csc(N2CCc3c(F)ccc(F)c3C2)n1
CHEMBL2381233,0,2,O=C(Nc1ccccc1N1CCNCC1)c1csc(N2CCc3ccccc3C2)n1
CHEMBL2381237,0,0,O=C(Nc1ccccc1N1CCNCC1)c1csc(N2CCc3sccc3C2)n1
CHEMBL1784629,0,8,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(C(N)=O)nc1
CHEMBL2381110,0,2,O=C(Nc1cnccc1N1CCNCC1)c1csc(-c2ccc3[nH]ccc3c2)n1
CHEMBL1784634,0,0,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C
CHEMBL4092478,0,4,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)cc2)cc1C#Cc1cccnc1
CHEMBL4097771,0,3,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(F)c2)cc1C#Cc1cccnc1
CHEMBL4100711,0,6,O=C1Nc2ccc(C(=O)N[C@H](CO)c3ccccc3Cl)cc2/C1=C/c1ccc[nH]1
CHEMBL4082210,0,1,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)cc2)cc1C#Cc1ccccn1
CHEMBL1923183,0,2,COc1cccc(CNC(=O)c2nc3cc(-c4cc[nH]n4)ccc3s2)c1
CHEMBL3680727,0,3,CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5ccc(C(N)=O)cc5[nH]4)c3)cc2C1
CHEMBL1784636,0,1,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(=O)NCCO)n1C
CHEMBL2381231,0,7,CN(Cc1ccccc1)c1nc(C(=O)Nc2ccccc2N2CCNCC2)cs1
CHEMBL2037116,0,6,O=C(Nc1ccccc1N1CCNCC1)c1csc(C#Cc2ccccc2)n1
CHEMBL2381229,0,6,O=C(Nc1ccccc1N1CCNCC1)c1csc(NCc2ccccc2)n1
CHEMBL1822971,0,2,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)N4CCc5ccccc54)cc32)c(C)c1C(=O)N1CCN(C)CC1
CHEMBL4071683,0,2,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)cc2)cc1C#Cc1ccc(N)nn1
CHEMBL4075321,0,2,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nn1
CHEMBL2381109,0,3,O=C(Nc1cnccc1N1CCNCC1)c1csc(-c2ccc3occc3c2)n1
CHEMBL4069085,0,3,Cc1ccc(CNC(=S)Nc2ccc(C(=O)Nc3ccccc3N)cc2)cn1
CHEMBL1922045,0,8,COc1cccc(CNC(=O)c2c[nH]c3cc(-c4cn[nH]c4)ccc23)c1
CHEMBL3680791,0,8,CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc5[nH]c(=O)ccc5c4)c3)cc2C1
CHEMBL1784638,0,2,COCCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc(C(N)=O)n4C)c3)cc2C(F)(F)F)CC1
CHEMBL3702642,0,2,CC(C)c1cccc(NC(=O)c2cccc(N3Cc4cnc(N)nc4C3)c2)c1
