chembl_id,stereo_id,conf_id,smiles
CHEMBL220601,0,0,O=c1[nH]c2ccc(-c3cn[nH]c3)cc2cc1-c1cc2cc(CN3CCOCC3)ccc2[nH]1
CHEMBL220653,0,0,CC(=O)N1CCN(Cc2ccc3[nH]c(-c4cc5cc(-c6cn[nH]c6)ccc5[nH]c4=O)cc3c2)CC1
CHEMBL3956504,0,0,CC1(C)CN(c2ccc(-c3oc(-c4cccc5[nH]ccc45)nc3C(N)=O)cc2)CCN1
CHEMBL3944825,0,0,CC1(C)CN(c2ccc(-c3oc(-c4c(F)ccc5[nH]ccc45)nc3C(N)=O)cc2)CCN1
CHEMBL3932362,0,0,CC1(C)CN(c2ccc(-c3oc(-c4ccc(F)c5[nH]ccc45)nc3C(N)=O)cc2)CCN1
CHEMBL3651170,0,0,O=C(NC1CNCC(c2ccccc2)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1
CHEMBL221428,0,0,c1cc2[nH]c(-c3n[nH]c4cc(-c5cn[nH]c5)ccc34)cc2cc1CN1CCOCC1
CHEMBL3651159,0,0,O=C(NC1CNCCC1c1cccc(F)c1)c1ccc2[nH]nc(-c3ccncc3)c2c1
CHEMBL4110435,0,0,O=C(N[C@H]1CNC[C@@H]1c1ccccc1)N1CCc2[nH]nc(-c3ccncc3)c2C1
CHEMBL3916616,0,0,Cc1noc(C)c1-c1ccc2c(c1)C(CCCN1CCNCC1)(c1ccccc1)C(=O)N2
CHEMBL3658449,0,0,CN1CC(Cc2ccccc2)CC(NC(=O)c2ccc3[nH]nc(-c4ccncc4)c3c2)C1
CHEMBL3668507,0,0,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(C(=O)[C@H]4C[C@@H](O)CN4)CC3)cc12
CHEMBL3651175,0,0,CN1CC(NC(=O)c2ccc3[nH]nc(-c4ccncc4)c3c2)CC(c2ccccc2)C1
CHEMBL221479,0,0,c1cc(-c2ccc3c(-c4cc5cc(CN6CCOCC6)ccc5[nH]4)n[nH]c3c2)[nH]n1
CHEMBL3651169,0,0,O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)C1CNCC(c2ccccc2)C1
