feature,RF_balanced,RF_extreme,XGB_conservative,XGB_aggressive,avg_importance
fp_1988,0.01887218175418583,0.07535691783376708,0.016494744,0.023871234,0.03364876920018489
fp_1591,0.010876390164734696,0.06059761939757632,0.010359263,0.016295446,0.02453217967320915
fp_1856,0.011210121132810242,0.02933244729491172,0.01924273,0.020698553,0.020120962842653273
fp_1573,0.008604098955855424,0.04404821795309415,0.010439892,0.013693663,0.019196468125013997
fp_1032,0.007965174102010244,0.03735302201821809,0.0077824267,0.012674663,0.016443821499711762
fp_891,0.005710097260443963,0.020893787583616364,0.012765846,0.014890396,0.013565031773864127
fp_1174,0.008522008893610527,0.03321897768662806,0.006388771,0.0060743033,0.013551015189435543
fp_1778,0.004509273594200036,0.023927950062473634,0.014992234,0.004793473,0.012055732751873494
fp_1861,0.00395233846372101,0.0036336886252052217,0.011191186,0.02900292,0.011945033111464479
fp_1083,0.010640509263092396,0.016704169801821052,0.0040568486,0.011420368,0.010705473966862722
fp_186,0.0030290497145298305,0.01842937093676212,0.008382751,0.008781985,0.009655789176532413
fp_1620,0.00974870039243313,0.01089402517126448,0.00608769,0.01163285,0.009590816520875343
mw,0.013654908810506365,0.023694019008090064,0.0003440099,0.00034945365,0.009510597841088677
fp_1377,0.008432113809370648,0.0036076946191689056,0.0075757387,0.015781038,0.008849146161850223
tpsa,0.012255335512231602,0.022071517290926088,0.00046537086,0.00038440622,0.008794157469771349
fp_1462,0.00502084331058507,0.010772961964831466,0.00555546,0.011323663,0.008168232227751654
heavy_atoms,0.011840651498165104,0.018330491082556053,0.0005162516,0.00049316505,0.007795139807692636
fp_314,0.00454221702850012,0.015854569839693577,0.0070108483,0.002354022,0.007440414311269659
fp_1180,0.0039550257307616994,0.00916474594679796,0.006369957,0.009531423,0.007255287974031281
fp_1991,0.00533063369432686,0.010636507219760796,0.0076002833,0.004225777,0.006948300290190966
fp_1829,0.004160998721061304,0.009727007448822534,0.008411709,0.0052124984,0.006878053438052145
fp_335,0.006546739936057431,0.009108332857020793,0.00705792,0.0047301925,0.006860796342532287
fp_1159,0.003121835838644752,0.004506381311313195,0.009260913,0.009939073,0.006707050790186955
fp_1826,0.005295909680239766,0.004534854753695097,0.0033637872,0.013590674,0.006696306386638327
fp_708,0.00634337863185133,0.012602632874365628,0.0022674336,0.0030430062,0.006064112810932654
fp_805,0.003761953743714441,0.007423968520927359,0.009482671,0.003042691,0.005927820940399239
fp_479,0.0051757082851485,0.009637311923360481,0.0039267065,0.0036994189,0.005609786391172859
fp_1131,0.0036722605073681532,0.004034482618032964,0.0064117443,0.007901485,0.0055049931212718724
fp_1148,0.00422585340183875,0.004314635491199323,0.009244254,0.0031001938,0.005221234139022986
fp_1637,0.005963529164778904,0.005905002240633367,0.004948456,0.003552703,0.005092422549950112
fp_149,0.007485032159645053,0.005114771818679286,0.004266507,0.0026061311,0.0048681105267555525
logp,0.008157705540132225,0.010511596695505184,0.00030642631,0.00030447874,0.004820051823696259
fp_1535,0.005325553478429508,0.008480217429711043,0.0027951042,0.0025346808,0.00478388896133587
fp_1142,0.004129022036506863,0.0050256570353536265,0.006380097,0.0035964292,0.004782801332127794
fp_1152,0.0058044095483445095,0.00719056193385532,0.0026853278,0.0032030747,0.004720843486051361
fp_238,0.0025476139328691728,0.0019291745612721608,0.006446901,0.007391383,0.004578768052943407
fp_493,0.008507792453497025,0.00458096180009105,0.002462719,0.0026863797,0.004559463266314803
fp_1601,0.003955135190493634,0.003570795958825884,0.002066436,0.008545207,0.004534393499970612
frac_csp3,0.009879452826921337,0.007323932945278857,0.00027961275,0.0003088657,0.0044479660586262786
fp_647,0.0017500623081790105,0.004956930114279974,0.004142434,0.0058425325,0.004172989697485531
fp_1608,0.006414770156537366,0.0019345138039587302,0.0051665357,0.0028825335,0.0040995882914487795
fp_245,0.0048912213909244676,0.0036906836077196144,0.004191679,0.0036121812,0.0040964412797798435
fp_130,0.007093379412641696,0.003746547790648257,0.002473575,0.001990155,0.0038259143375995973
fp_29,0.0057606498314602215,0.00507470451840028,0.0020364297,0.0022954945,0.0037918196509837986
fp_773,0.004007472292095949,0.0047818650882048295,0.003283504,0.0030901441,0.0037907463615936086
fp_446,0.0035992488434477255,0.0041816503445749244,0.0051235915,0.0019832703,0.0037219402465288433
fp_1162,0.004471443881990704,0.007094743288656537,0.0015717653,0.0010543228,0.003548068817317525
fp_1480,0.0073308874074027005,0.002964284700295214,0.0017215959,0.001309892,0.0033316650084018436
hba,0.008662007622426318,0.0036653219364352336,0.0004106056,0.0002784552,0.0032540975911149565
fp_138,0.00621180800990156,0.002106696050313161,0.0033253487,0.0011474417,0.0031978236156437454
fp_350,0.0046086583257669116,0.004463984185640417,0.001302166,0.0024005582,0.003193841686867747
fp_1134,0.0031391154692300403,0.002539817595017803,0.0042101056,0.0027753378,0.0031660941189106994
fp_1757,0.0008059341187950978,0.00021050962717030682,0.0050743767,0.006489044,0.003144966126835506
arom_rings,0.0055970782514141925,0.004603793340135092,0.0010564204,0.0009112656,0.0030421393967931887
fp_543,0.0036104459486793173,0.003958421737979272,0.0004845831,0.0039751558,0.0030071516408905047
fp_1026,0.0048645306533616,0.0027823421083105365,0.0024354476,0.001775833,0.0029645383432539544
fp_673,0.00319884692281356,0.0037395041389823628,0.0032148282,0.0015213012,0.0029186201222811572
fp_934,0.001965645171770667,0.0007453334447960423,0.0053808605,0.003375873,0.0028669280290085208
fp_428,0.003448691119833904,0.0012357963082022475,0.0037767566,0.0029925623,0.002863451565030172
fp_1221,0.002044340295817253,0.005247525029946023,0.0028028581,0.0009915087,0.0027715580422075963
fp_539,0.0020657186091300778,0.0002982756281198694,0.0060428,0.0021091572,0.002628987825994903
fp_1816,0.003074925236696152,0.0021481597929709985,0.0029970838,0.0020295926,0.0025624403722262707
fp_1181,0.001119703763326061,0.002961441904562607,0.0027590506,0.0033900263,0.0025575556311403583
fp_600,0.0025607127564872064,0.000682539597561269,0.0034491557,0.0034495231,0.0025354827983137926
fp_1877,0.0024655240759271606,0.0012444924842871415,0.0,0.006350071,0.00251502193241257
fp_555,0.0028878852737977442,0.003050924492575974,0.0028754037,0.0011411172,0.0024888326718786567
fp_1799,0.0016248848932093247,0.001722111171400443,0.0027228002,0.003872168,0.002485491081451744
fp_511,0.0008350738051177515,0.002404188390690788,0.0031129671,0.0034529788,0.0024513020293185734
fp_1039,0.003701008930019824,0.003336291388489234,0.0013731132,0.0010688256,0.0023698097921516044
rot_bonds,0.005733216556257405,0.0031480356667887284,0.00026448935,0.00027438518,0.0023550316892512165
fp_703,0.0018541149699758152,0.004542758674715504,0.0018539801,0.0009315779,0.0022956079105260745
fp_1394,0.0005802291473405166,0.00034190982494586015,0.0045636296,0.003677601,0.0022908423985550782
fp_898,0.0017778779087721734,0.0034032671213771433,0.0025202301,0.0013786149,0.0022699975210896373
fp_1706,0.001322049142839164,0.0016422324013625578,0.003292294,0.0027950383,0.002262903452413318
fp_1781,0.006186040100422895,0.0008125457696747451,0.0016828415,0.00034399217,0.00225635487326171
fp_1874,0.0005343254017864114,0.0005282193515224908,0.0023034841,0.005592491,0.0022396299735409045
fp_1530,0.0007461211341085936,0.0018140695562278738,0.001789522,0.0045553762,0.0022262722362367663
fp_87,0.0033561012209020213,0.0031133580916555274,0.0015953486,0.00070310576,0.0021919784147896174
fp_1171,0.004002326057303799,0.002159615451941123,0.0009779384,0.0015856273,0.0021813768114703606
fp_2040,0.00047420880975686654,9.74595494590743e-05,0.0077290856,0.00041740484,0.0021795397060917717
fp_495,0.0017147788584733396,0.0031346728805831435,0.0020232191,0.0017667259,0.0021598491947386602
fp_1357,0.0028053385773994933,0.0030820547311508177,0.0012605318,0.0014891257,0.002159262699943084
fp_2043,0.0049839084044068765,0.000957076060857829,0.00055093144,0.0020553821,0.002136824506122849
fp_711,0.004311779541544268,0.003094625042811228,0.0005328392,0.00049721234,0.0021091140353092534
fp_682,0.000999870112297359,0.000384814402894105,0.005300372,0.0016494927,0.0020836372689824172
fp_1671,0.0016836971778268124,0.002792636858529723,0.0022747463,0.0015621295,0.002078302454443357
rings,0.004661237562646252,0.002819493384181114,0.00035350127,0.00035696014,0.0020477980879833138
fp_1855,0.002222226662796862,0.0026150202282777257,0.001807605,0.0015105028,0.002038838673606691
