Epoch,Mean_MaxTanimoto,Mean_pIC50,Mean_logS,Mean_QED,Mean_SA
10,0.3538922650240688,6.546393398443858,-4.065829143589751,0.5643664667087528,3.1857313447243167
20,0.4156540452329292,6.674767948518788,-4.159569319482946,0.5618748632800807,3.206661679067967
30,0.4556938340306763,6.68071116047141,-4.24454105527374,0.5570355620781127,3.2105705158781173
40,0.467256336888645,6.726276966546086,-4.214486346081579,0.5461847659416704,3.2056420915094708
50,0.48480626324338927,6.783372757115315,-4.211657554863654,0.5632110589956976,3.238277939159928
60,0.5056895358679316,6.773963940143585,-4.15585865030686,0.558429523399838,3.1879243412050027
70,0.5127274187954701,6.792496866594977,-4.160133466124535,0.5634703484877693,3.2500388456591307
80,0.5227052651287438,6.775984194681889,-4.1020005905304675,0.5662978326956428,3.220341093690247
90,0.5345833233771262,6.833855489357231,-4.2305391351586765,0.5613965664919317,3.2299593838509715
100,0.5412312499685065,6.912679175618279,-4.191834536825473,0.5483341720987656,3.1976725225374913
110,0.5510074874696002,6.85208781329428,-4.198659267477475,0.5672744643022569,3.19440052509003
120,0.55766625231203,6.907291357715924,-4.113077280173699,0.5643425200629869,3.186530305229952
130,0.574734875021436,6.8213695176639915,-4.194410887317381,0.5554981843493899,3.2074404660082614
140,0.5627713514277147,6.8627247262847195,-4.2065874105455485,0.5592888138638673,3.21928316825732
150,0.5786490193823662,6.838911248035118,-4.189758711418167,0.5610959121210785,3.231061905232964
