Epoch,Validity,Uniqueness,MeanMaxTanimoto,ExactCopies,Novel
10,100.0,100.0,0.4200234564278295,1.6701461377870561,62.00417536534447
20,100.0,100.0,0.4880594777376553,3.3057851239669422,45.45454545454545
30,100.0,100.0,0.5357444882147243,7.531380753138076,38.70292887029289
40,100.0,100.0,0.5560985723763024,7.231404958677685,34.710743801652896
50,100.0,100.0,0.5991304374906761,15.195071868583163,29.774127310061605
60,100.0,100.0,0.6074777474210153,15.942028985507244,29.606625258799173
70,100.0,100.0,0.6354353902252046,20.416666666666668,27.083333333333332
80,100.0,100.0,0.6713752651513474,24.637681159420293,21.73913043478261
90,100.0,100.0,0.674311621797341,27.479338842975203,22.31404958677686
100,100.0,100.0,0.7134821941565654,34.78260869565217,19.25465838509317
